companyFullName,city,district,positionName,workYear,jobNature,salary,eduction,companySize,financeStage,industryField,positionAdvantage,positionLables,industryLables,companyLableList,jobDetail
北京拉勾网络技术有限公司,北京,海淀区,数据分析师,3-5年,全职,15k-20k,,150-500人,成熟型(D轮及以上),"企业服务,招聘",发展空间、免费午晚餐,Tableau,,"五险一金,弹性工作,带薪年假,免费两餐",一、岗位职责：	1，收集和挖掘各业务线的数据需求，针对不同业务场景，与业务协作提炼出核心指标和分析框架，并呈现、跟踪、分析；能通过常规数据分析方法发现业务数据存在的异常、趋势、特点、可优化点等，通过数据描绘出整个业务流程、用户行为和重点环节的转化，帮助业务方更深刻的理解、使用和运营数据；	3，能主动向业务方输入自己的观点，提升业务方使用数据的频率；对业务进行常规报表解读、数据可视化工具使用的培训；                     	二、岗位要求：	1，本科及以上学历，2年以上数据分析工作经验，统计、数学、计算机相关专业优先 ；	2，良好的数据敏感度，了解大数据相关的基础知识，熟悉常见的数据分析和处理方法，有数据质量控制意识；熟练使用MYSQL和tableau；	5，对人力资源行业、互联网行业有一定了解；	
银客未来科技（北京）有限公司,北京,海淀区,数据分析师,3-5年,全职,15k-30k,,500-2000人,成熟型(C轮),"移动互联网,金融","六险一金,16薪考核,弹性工作,高速成长","金融,数据挖掘,SPSS","金融,数据挖掘,SPSS","股票期权,16薪,扁平化管理,免费两餐",
北京复华卓越商业管理有限公司,北京,朝阳区,数据分析师,3-5年,全职,10k-20k,,2000人以上,成熟型(不需要融资),"电子商务,O2O","五险一金,季度奖金,带薪年假,餐补","高级,中级,数据挖掘,ETL,sas",,"通讯津贴,午餐补助,美女多,领导好",
浙江执御信息技术有限公司,杭州,拱墅区,数据分析师,1-3年,全职,8k-16k,,2000人以上,成长型(B轮),"移动互联网,数据服务","发展空间,团队氛围,个人成长,海量数据","移动互联网,大数据,数据挖掘,SPSS","移动互联网,大数据,数据挖掘,SPSS","五险一金,带薪年假,节日礼物,年度旅游",
同程网络科技股份有限公司,苏州,工业园区,数据分析师,1-3年,全职,6k-12k,,2000人以上,成熟型(D轮及以上),"旅游,电子商务",平台大，福利好,"SPSS,sas",,"绩效奖金,股票期权,年底双薪,五险一金",
腾讯科技(深圳)有限公司,广州,海珠区,WXG01-111 数据分析师,3-5年,全职,15k-30k,,2000人以上,上市公司,"移动互联网 ,游戏",微信大平台,"社交,大数据,数据挖掘","社交,大数据,数据挖掘","免费班车,成长空间,年度旅游,岗位晋升",岗位职责:	岗位要求:	
中腾信金融信息服务（上海）有限公司,深圳,南山区,数据分析师,1-3年,全职,8k-16k,,2000人以上,成熟型(不需要融资),金融,"中信系,国资top,待遇优厚,环境高大上","金融,统计","金融,统计","节日礼物,年底多薪,绩效奖金,岗位晋升",【岗位职责】：	1、业务数据支持，搭建企划条线报表体系；	2、配合制定全年业务规划，并做月度滚动预测；	3、定期追踪检视各部门KPI达成情况，并做异常原因分析；	4、及时跟进业务模式和产品策略变化，评估对业务达成、投产和全年预算影响；	5、根据业务发展需要，承接一定项目性工作；	6、领导安排的其他事项。		【任职要求】：	1、统招本科及以上学历，数学、统计学、金融学、财务管理等相关专业；	2、熟练应用Excel，熟练掌握SAS/SPSS/SQL等其中一种数据库工具；	3、具有较强的沟通协调能力和逻辑思维能力，学习能力突出；	4、积极向上的心态、良好的自我管理、有担当，工作认真仔细，并能承受一定的工作压力。		
上海分尚网络科技有限公司,上海,嘉定区,数据分析师,3-5年,全职,15k-25k,,150-500人,成长型(A轮),O2O,"领导nice,氛围轻松",大数据,,"鲜花订阅,简单高效,行业颠覆,迅速发展",职位描述：	任职要求：	
北京爱奇艺科技有限公司,上海,徐汇区,游戏-数据分析-上海,1-3年,全职,7k-12k,,2000人以上,成熟型(D轮及以上),"广告营销,文化娱乐",福利待遇丰厚,,,"绩效奖金,五险一金,交通补助,带薪年假",
南京领添信息技术有限公司,南京,雨花台区,数据分析,1-3年,全职,4k-6k,,500-2000人,成熟型(C轮),"移动互联网,电子商务","GA,分析,方案,五险一金",电商,电商,"节日礼物,股票期权,带薪年假,绩效奖金",
