companyFullName,city,district,positionName,workYear,jobNature,salary,eduction,companySize,financeStage,industryField,positionAdvantage,positionLables,industryLables,companyLableList,jobDetail
长沙辰运软件有限公司,长沙,岳麓区,大数据分析师,1-3年,全职,4k-8k,,150-500人,成长型(不需要融资),移动互联网,"五险一金,年底双薪,交通补贴,中餐补贴",,,"年底双薪,技能培训,绩效奖金,年度旅游",
上海翼师网络科技有限公司,上海,虹口区,数据分析,1-3年,全职,6k-9k,,500-2000人,成熟型(D轮及以上),"移动互联网,教育","行业平台,个人发展","SPSS,sas",,"技能培训,节日礼物,绩效奖金,岗位晋升",
拉扎斯网络科技（上海）有限公司,上海,普陀区,数据分析师,1-3年,全职,20k-30k,,2000人以上,成熟型(D轮及以上),移动互联网,团队给力，领导nice,"资深,大数据",,"节日礼物,绩效奖金,年度旅游,岗位晋升",
北京汉迪移动互联网科技股份有限公司,北京,海淀区,数据分析,1-3年,全职,8k-13k,,150-500人,成长型(不需要融资),移动互联网,"六险一金,免费水果,硅谷式办公,团队氛围佳","广告营销,SPSS","广告营销,SPSS","节日礼物,年度旅游,定期体检,六险一金",
北京值得买科技股份有限公司,北京,丰台区,数据分析主管,3-5年,全职,20k-25k,,150-500人,成长型(A轮),"电子商务,文化娱乐","弹性时间,六险一金,首席健康师","电商,高级","电商,高级","技能培训,带薪年假,各种主题趴,海量产品体验",
北京东方国信科技股份有限公司,泉州,丰泽区,数据分析师,1-3年,全职,6k-8k,,2000人以上,上市公司,数据服务,五险一金、双休,"大数据,php,MySQL",,"大数据软件,技能培训,节日礼物,年底双薪",
北京国双科技有限公司,上海,静安区,数据分析师 (上海),3-5年,全职,8k-15k,,500-2000人,上市公司,数据服务,大数据上市公司 发展空间大 氛围好,"大数据,数据挖掘,SQL",,"年度旅游,节日礼物,年底双薪,带薪年假",
九九互联科技服务有限公司,天津,河西区,数据分析师,1-3年,全职,7k-10k,,50-150人,初创型(未融资),"电子商务,企业服务","五险一金,年度体检,年终奖金,优秀团队","SPSS,sas,数据管理",,"年底双薪,绩效奖金,午餐补助,定期体检",
中商惠民（北京）电子商务有限公司,北京,朝阳区,数据分析,1-3年,全职,10k-15k,,2000人以上,成长型(B轮),电子商务,五险一金 领导好,"金融,商业,业务运营,SPSS,sas","金融,商业,业务运营,SPSS,sas","岗位晋升,领导好,弹性工作,午餐补助",
